typology_id,code,description_en
annex1,1210,"Sparse annual vegetation on the drift line of sandy and shingle beaches, where stranded seaweed and other organic debris raise the nitrogen content of the substrate. Dominant is Cakile maritima, joined by Salsola kali and Atriplex species and, further south, Glaucium flavum and Euphorbia peplis; Mediterranean shores add Matthiola sinuata and Eryngium maritimum, the Black Sea coast Argusia sibirica. The stand occupies the uppermost, most mobile part of the beach, subject to occasional inundation by storm tides and constant sand movement, from the Baltic to the Mediterranean and Black Sea. Composition shifts with region and with the amount and type of drift material rather than with soil in the usual sense. The vegetation is annual and pioneer by nature, renewed each year on shifting ground and destroyed by beach cleaning, trampling and coastal engineering as readily as by storms. It lies seaward of the perennial vegetation of stony banks (1220) and of the embryonic dunes of 2110."
annex1,1220,"Perennial vegetation of the upper shingle beach, dominated by Crambe maritima and Honckenya peploides, with Leymus arenarius on Baltic shingle, Lathyrus japonicus on Channel shores and Crithmum maritimum on Atlantic coasts further south. Stands sit above the drift line proper, on coarse, well drained shingle largely free of fine sediment, from the Baltic through the Channel to the Atlantic seaboard. Named associations vary regionally: Elymo-Crambetum on Baltic shingle, Lathyro-Crambetum along the Channel, Crithmo-Crambetum on Atlantic shores. On more stable, mature shingle further inland from the upper beach, grassland, heath and scrub can develop, and unusual lichen and bryophyte dominated stands occur on the oldest surfaces. The type depends on shingle structures large and stable enough to escape regular wave disturbance; trampling and extraction of shingle destroy it readily. It differs from the annual drift line vegetation of 1210 by its perennial, more established cover on coarser, more stable material."
annex1,1230,"Vegetated rock cliffs with their crevices, ledges and cliff tops along the Atlantic and Baltic coasts, exposed bedrock whose zonation reflects distance from salt spray. Nearest the sea, crevice and ledge communities of the Crithmo-Armerietalia hold Crithmum maritimum, Armeria maritima and Spergularia rupicola; further up, where soil is deeper, closed maritime grassland of the Silenion maritimae carries Silene uniflora, Plantago coronopus and Festuca rubra. Further inland or on sheltered cliffs this passes into maritime heath, calcareous or acid grassland, tall herb and scrub vegetation enriched with coastal species; soft, actively eroding coasts show a shifting mosaic instead of clear zonation. Composition varies with exposure, geology, region and the guano input of nesting seabirds. Management is light, mainly grazing on cliff top grassland; the chief threats are recreation, cliff stabilisation and coastal development. Loamy or sandy soft cliffs, less steep and less stable, are treated as a separate type though sharing much of the same flora."
annex1,1240,"Vegetated cliffs and rocky shores of the Mediterranean, adjoining Atlantic coasts of southwestern Iberia and, locally, the Black Sea, assigned to the Crithmo-Limonietalia. Crithmum maritimum forms the constant element, joined by numerous, often very locally endemic Limonium species together with Armeria, Euphorbia, Daucus and Asteriscus maritimus. Stands occupy crevices, ledges and cliff tops exposed to salt spray, with zonation and species composition governed by exposure, bedrock and regional climate; many Limonium taxa are confined to a single cliff system, giving the type an unusually fine grained endemism. Soft, eroding cliffs of clay, shale or sand nearby carry a related but distinct, poorly studied assemblage treated apart from the hard rock cliffs described here. Threats are chiefly recreational pressure and coastal development on the narrow, linear stands, which cannot retreat once the cliff base is altered. It parallels the Atlantic and Baltic cliffs of 1230 but is set apart by its markedly higher endemic Limonium diversity."
annex1,1250,"Vegetated basalt sea cliffs of the Canaries, Madeira and the Azores, narrow strips of rock shaped by salt spray and carrying a flora rich in island endemics. On the Canaries and Madeira the Frankenio-Astydamietalia dominate, with Astydamia latifolia, Limonium pectinatum, Frankenia ericifolia, Schizogyne sericea and Argyranthemum frutescens; on the Azores the Festucion petraeae is built around the endemic Festuca petraea alongside Azorina vidalii and Euphorbia azorica. Zonation of crevice and ledge vegetation differs between the three archipelagos, reflecting their separate volcanic geology and biogeographic history, and nesting seabirds add a nutrient-rich, guano-fed element near colonies. The habitat occupies the same cliff position as 1230 and 1240 further north and east, but is distinguished by its wholly Macaronesian endemic flora with no equivalent on the continental coasts. Isolation on small islands makes individual stands vulnerable to any single disturbance, from coastal development to introduced herbivores."
annex1,1310,"Open annual vegetation of periodically flooded mud and sand, dominated by succulent Chenopodiaceae, chiefly Salicornia species and Suaeda maritima, sometimes with Salsola. It occurs on both coastal salt marshes and inland salt basins across Europe, in several regional forms: glasswort swards of the Thero-Salicornietalia on tidal coastal mud; Mediterranean halo-nitrophilous pioneer stands of the Frankenion pulverulentae with Frankenia pulverulenta and Cressa cretica; Atlantic pearlwort communities of the Saginion maritimae with Sagina maritima at the dune to marsh transition; and, from Pannonia to the Far East, sparse Crypsis stands on drying solonchak mud. All forms share a strict dependence on alternating inundation and desiccation with surface salt efflorescence; woody or perennial encroachment signals a shift away from this regime, usually through reduced flooding or drainage. Diagnostic species and syntaxa differ sharply by region, so identification rests on the dominant annual chenopod and the local hydrology rather than on a single indicator species."
annex1,1340,"Non-coastal salt vegetation formed around zones of saline seepage, springs and streams and stagnant brackish water, with halophilous swards and fringing reed beds at the margins of the brackish water bodies. Characteristic plants are Aster tripolium, Puccinellia distans, Juncus gerardii, Plantago maritima, Triglochin maritima, Spergularia salina and Salicornia species, with Elymus atherica and Halimione pedunculata locally. The habitat forms where salt reaches the surface through geological seepage rather than tidal action, so it is always small and scattered, embedded in a matrix of ordinary inland vegetation. Artificial or semi-natural sites, such as old salt workings, are included only where natural stands no longer exist regionally or where they hold an Annex II species. Any disruption of the saline seepage, whether by drainage, dilution with fresh water or infilling, removes the halophilous flora within a few seasons and cannot be reversed by management alone. It is distinguished from the Pannonic salt steppes of 1530 by its scattered, non-steppic, seepage-fed occurrence."
annex1,1430,"Perennial coastal scrub of nitrophilous, salt-tolerant shrubs on dry soils under an arid to semi-arid Mediterranean climate, assigned to the Pegano-Salsoletea. Salsola vermiculata, Artemisia herba-alba, Lycium intricatum and Atriplex halimus form the woody framework, with Suaeda and Camphorosma species adding further salt tolerant elements; stands range from low and open to, in places, taller and denser. The habitat concentrates on disturbed ground near the coast, where sea-borne salt and, close to seabird colonies, guano keep soil nutrient and salt levels high; outliers extend into Macaronesia beyond the Mediterranean proper. Composition and structure vary considerably with disturbance and local salt input, from sparse chamaephyte cover to closed matorral. Because it establishes readily on disturbed, nutrient and salt enriched ground, it can expand where natural vegetation has been cleared, which makes its boundary with ordinary ruderal or halophile scrub a matter of species combination rather than physiognomy alone."
annex1,1510,"Perennial salt vegetation of Mediterranean coasts and Iberian inland salt basins, built from rosette forming Limonium species or, on more open ground, from tussocks of esparto grass, Lygeum spartum, assigned to the Limonietalia. Soils are permeated, though not permanently flooded, by saline water and dry out completely in summer with a surface crust of salt efflorescence; associated stands of the Arthrocnemetalia, Thero-Salicornietalia and Saginetalia maritimae fill the wetter and more disturbed microsites within the same mosaic. Halopeplis amplexicaulis, Microcnemion coralloides, Senecio auricula and Sphenopus divaricatus complete the diagnostic flora. Regional syntaxa are numerous and often confined to a single Iberian basin or short coastal stretch, reflecting the strict local control of hydrology and salinity on species composition. The type occupies the same extreme, seasonally desiccating salt habitats as continental salt steppes elsewhere, from which it is set apart mainly by its distinctive Limonium and Lygeum dominated syntaxa rather than by site conditions."
annex1,1520,"Open garrigue of the Iberian peninsula on gypsum rich soils, physiognomically a low chamaephyte scrub with a lichen crust and a flush of spring annuals after rain. Gypsophilous specialists dominate: Gypsophila hispanica, G. struthium, Helianthemum squamatum, Herniaria fruticosa, Lepidium subulatum and Ononis tridentata, with thymes, germanders, rockroses and composites such as Centaurea and Jurinea filling out the community. The type is tied to gypsum outcrops under a dry to semi-arid Mediterranean climate and is largely confined to central and eastern Spain, following the syntaxa Lepidion subulati, Gypsophilion hispanicae and Thymo-Teucrion verticillati. Extreme edaphic and climatic conditions keep the vegetation open and stable over long periods, and it tolerates light grazing; the chief threats are gypsum quarrying and conversion to arable or irrigated land, which destroy the substrate itself rather than merely the vegetation. The gypsum substrate and narrow endemic flora separate it from ordinary calcareous garrigue at a glance."
